"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1552429177,262,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428384651,"NULL"
1552429826,263,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428888432,"NULL"
1552429826,263,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428902191,"NULL"
1552429826,263,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428911611,"NULL"
1552430738,264,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429416461,"NULL"
1552430738,264,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429427813,"NULL"
1552430738,264,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429428512,"NULL"
1552428652,265,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428518001,"NULL"
1552428652,265,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428518605,"NULL"
1552428652,265,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428519553,"NULL"
1552431495,266,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552430482703,"NULL"
1552431495,266,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552430495899,"NULL"
1552431495,266,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552430500678,"NULL"
